county,city,state,model_year,make,model,type,cafv_eligibility,electric_utility
Pierce,Tacoma,WA,2022,JEEP,WRANGLER,PHEV,Not Eligible,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||ELMHURST MUTUAL POWER & LIGHT CO|PENINSULA LIGHT COMPANY
Snohomish,Mill Creek,WA,2013,NISSAN,LEAF,BEV,Eligible,PUGET SOUND ENERGY INC
Spokane,Edwall,WA,2019,TESLA,MODEL 3,BEV,Eligible,BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY
Skagit,Burlington,WA,2023,TESLA,MODEL 3,BEV,Unknown,PUGET SOUND ENERGY INC
Lincoln,Grand Coulee,WA,2024,KIA,EV6,BEV,Unknown,BONNEVILLE POWER ADMINISTRATION||INLAND POWER & LIGHT COMPANY
Asotin,Clarkston,WA,2022,TESLA,MODEL Y,BEV,Unknown,BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||PUD NO 1 OF ASOTIN COUNTY
Okanogan,Twisp,WA,2023,RIVIAN,R1S,BEV,Unknown,PUD NO 1 OF OKANOGAN COUNTY
Pierce,Parkland,WA,2016,TESLA,MODEL S,BEV,Eligible,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY
Island,Langley,WA,2022,FORD,MUSTANG MACH-E,BEV,Unknown,PUGET SOUND ENERGY INC
Clallam,Port Angeles,WA,2022,KIA,EV6,BEV,Unknown,BONNEVILLE POWER ADMINISTRATION||CITY OF PORT ANGELES - (WA)
Spokane,Spokane,WA,2024,KIA,EV6,BEV,Unknown,MODERN ELECTRIC WATER COMPANY
Pierce,South Hill,WA,2022,NISSAN,LEAF,BEV,Unknown,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY
Snohomish,Sultan,WA,2017,PORSCHE,CAYENNE,PHEV,Not Eligible,BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY
Spokane,Liberty Lake,WA,2019,CHEVROLET,BOLT EV,BEV,Eligible,BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY
Jefferson,Port Townsend,WA,2013,FORD,FUSION,PHEV,Not Eligible,BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY
Snohomish,Monroe,WA,2024,HONDA,PROLOGUE,BEV,Unknown,PUGET SOUND ENERGY INC
Pierce,Parkland,WA,2015,TESLA,MODEL S,BEV,Eligible,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY
King,Seatac,WA,2022,BMW,530E,PHEV,Not Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Snohomish,Mill Creek,WA,2018,CHEVROLET,VOLT,PHEV,Eligible,PUGET SOUND ENERGY INC
Pierce,Gig Harbor,WA,2021,VOLVO,XC40,BEV,Unknown,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY
Whatcom,Bellingham,WA,2022,JEEP,WRANGLER,PHEV,Not Eligible,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY
Spokane,Spokane,WA,2021,JEEP,WRANGLER,PHEV,Not Eligible,BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY
Spokane,Spokane Valley,WA,2022,CHEVROLET,BOLT EUV,BEV,Unknown,BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY
Pacific,Ocean Park,WA,2024,KIA,SPORTAGE,PHEV,Eligible,BONNEVILLE POWER ADMINISTRATION||PUD NO 2 OF PACIFIC COUNTY
Pierce,Bonney Lake,WA,2024,KIA,SPORTAGE,PHEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Spokane,Spokane,WA,2021,TOYOTA,PRIUS PRIME,PHEV,Not Eligible,MODERN ELECTRIC WATER COMPANY
Pierce,South Hill,WA,2018,TOYOTA,PRIUS PRIME,PHEV,Not Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Franklin,Pasco,WA,2021,TOYOTA,RAV4 PRIME,PHEV,Eligible,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF FRANKLIN COUNTY
San Juan,Friday Harbor,WA,2019,HYUNDAI,IONIQ,PHEV,Not Eligible,BONNEVILLE POWER ADMINISTRATION||ORCAS POWER & LIGHT COOP
Spokane,Spokane,WA,2023,TESLA,MODEL X,BEV,Unknown,BONNEVILLE POWER ADMINISTRATION||VERA IRRIGATION DISTRICT #15
Kittitas,Cle Elum,WA,2023,RIVIAN,R1S,BEV,Unknown,PUGET SOUND ENERGY INC
Snohomish,Arlington,WA,2018,HONDA,CLARITY,PHEV,Eligible,BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY
Skamania,Stevenson,WA,2018,NISSAN,LEAF,BEV,Eligible,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF SKAMANIA CO
Pierce,Orting,WA,2016,TESLA,MODEL X,BEV,Eligible,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY
Benton,Kennewick,WA,2021,AUDI,E-TRON SPORTBACK,BEV,Eligible,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY
Pierce,Gig Harbor,WA,2020,PORSCHE,TAYCAN,BEV,Eligible,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY
King,Enumclaw,WA,2013,CHEVROLET,VOLT,PHEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
San Juan,Lopez Island,WA,2023,MITSUBISHI,OUTLANDER,PHEV,Eligible,BONNEVILLE POWER ADMINISTRATION||ORCAS POWER & LIGHT COOP
Ferry,Kettle Falls,WA,2023,KIA,NIRO,BEV,Unknown,AVISTA CORP
King,Ravensdale,WA,2018,TESLA,MODEL S,BEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Benton,West Richland,WA,2019,SUBARU,CROSSTREK,PHEV,Not Eligible,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY
Pierce,Tacoma,WA,2023,LINCOLN,AVIATOR,PHEV,Not Eligible,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY
Clark,Ridgefield,WA,2018,BMW,I3,BEV,Eligible,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
Pierce,Lakebay,WA,2018,CHEVROLET,VOLT,PHEV,Eligible,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY
Pierce,Parkland,WA,2023,FORD,F-150,BEV,Unknown,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||ELMHURST MUTUAL POWER & LIGHT CO|PENINSULA LIGHT COMPANY
Skamania,Washougal,WA,2022,VOLKSWAGEN,ID.4,BEV,Unknown,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF SKAMANIA CO
Snohomish,Mountlake Terrace,WA,2020,NISSAN,LEAF,BEV,Eligible,PUGET SOUND ENERGY INC
King,Duvall,WA,2016,KIA,SOUL,BEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Tukwila,WA,2019,CHEVROLET,VOLT,PHEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Ravensdale,WA,2017,FORD,C-MAX,PHEV,Not Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Chelan,Chelan,WA,2017,TESLA,MODEL S,BEV,Eligible,PUD NO 1 OF CHELAN COUNTY
Skagit,Burlington,WA,2018,BMW,530E,PHEV,Not Eligible,PUGET SOUND ENERGY INC
Snohomish,Lynnwood,WA,2021,TESLA,MODEL S,BEV,Unknown,PUGET SOUND ENERGY INC
Snohomish,Lynnwood,WA,2022,JEEP,WRANGLER,PHEV,Not Eligible,PUGET SOUND ENERGY INC
King,Burien,WA,2022,AUDI,E-TRON GT,BEV,Unknown,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Snohomish,Snohomish,WA,2019,BMW,530E,PHEV,Not Eligible,PUGET SOUND ENERGY INC
Spokane,Cheney,WA,2015,NISSAN,LEAF,BEV,Eligible,BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY
Franklin,Pasco,WA,2024,TOYOTA,RAV4 PRIME,PHEV,Eligible,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF FRANKLIN COUNTY
Snohomish,Mill Creek,WA,2023,RIVIAN,R1T,BEV,Unknown,PUGET SOUND ENERGY INC
Douglas,East Wenatchee,WA,2023,SUBARU,SOLTERRA,BEV,Unknown,PUD NO 1 OF DOUGLAS COUNTY
Pierce,Gig Harbor,WA,2014,CHEVROLET,SPARK,BEV,Eligible,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY
King,Seatac,WA,2017,FORD,C-MAX,PHEV,Not Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Redmond,WA,2020,PORSCHE,CAYENNE,PHEV,Not Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Whatcom,Lynden,WA,2015,NISSAN,LEAF,BEV,Eligible,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY
