county,city,state,model_year,make,model,type,cafv_eligibility,electric_utility
Kitsap,Seabeck,WA,2023,TOYOTA,RAV4 PRIME,PHEV,Eligible,PUGET SOUND ENERGY INC
Kitsap,Bremerton,WA,2018,NISSAN,LEAF,BEV,Eligible,PUGET SOUND ENERGY INC
King,Seattle,WA,2020,TESLA,MODEL 3,BEV,Eligible,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
King,Seattle,WA,2014,NISSAN,LEAF,BEV,Eligible,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
Thurston,Yelm,WA,2017,CHEVROLET,BOLT EV,BEV,Eligible,PUGET SOUND ENERGY INC
Snohomish,Lynnwood,WA,2020,TESLA,MODEL Y,BEV,Eligible,PUGET SOUND ENERGY INC
Kitsap,Poulsbo,WA,2022,HYUNDAI,SANTA FE,PHEV,Eligible,PUGET SOUND ENERGY INC
Snohomish,Arlington,WA,2023,RIVIAN,R1T,BEV,Unknown,PUGET SOUND ENERGY INC
King,Kent,WA,2020,TESLA,MODEL Y,BEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Kirkland,WA,2015,NISSAN,LEAF,BEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Kitsap,Bremerton,WA,2017,CHEVROLET,BOLT EV,BEV,Eligible,PUGET SOUND ENERGY INC
Thurston,Tumwater,WA,2013,FORD,FOCUS,BEV,Eligible,PUGET SOUND ENERGY INC
Yakima,Yakima,WA,2016,KIA,SOUL,BEV,Eligible,PACIFICORP
Thurston,Centralia,WA,2018,CHEVROLET,VOLT,PHEV,Eligible,PUGET SOUND ENERGY INC
King,Seattle,WA,2017,AUDI,A3,PHEV,Not Eligible,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
Snohomish,Lynnwood,WA,2013,NISSAN,LEAF,BEV,Eligible,PUGET SOUND ENERGY INC
Thurston,Olympia,WA,2024,DODGE,HORNET,PHEV,Eligible,PUGET SOUND ENERGY INC
King,Kirkland,WA,2018,TESLA,MODEL S,BEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Issaquah,WA,2018,TESLA,MODEL 3,BEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Duvall,WA,2018,TESLA,MODEL 3,BEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Thurston,Olympia,WA,2012,CHEVROLET,VOLT,PHEV,Eligible,PUGET SOUND ENERGY INC
King,Seattle,WA,2017,BMW,I3,PHEV,Eligible,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
Snohomish,Lake Stevens,WA,2019,KIA,NIRO,BEV,Eligible,PUGET SOUND ENERGY INC
Yakima,Yakima,WA,2018,TESLA,MODEL 3,BEV,Eligible,PACIFICORP
Thurston,Olympia,WA,2018,TESLA,MODEL 3,BEV,Eligible,PUGET SOUND ENERGY INC
Yakima,Selah,WA,2016,VOLKSWAGEN,E-GOLF,BEV,Eligible,PACIFICORP
Yakima,Zillah,WA,2013,TESLA,MODEL S,BEV,Eligible,PACIFICORP
Snohomish,Bothell,WA,2018,TESLA,MODEL 3,BEV,Eligible,PUGET SOUND ENERGY INC
Snohomish,Bothell,WA,2018,NISSAN,LEAF,BEV,Eligible,PUGET SOUND ENERGY INC
Kitsap,Kingston,WA,2017,NISSAN,LEAF,BEV,Eligible,PUGET SOUND ENERGY INC
Kitsap,Poulsbo,WA,2024,KIA,SPORTAGE,PHEV,Eligible,PUGET SOUND ENERGY INC
Kitsap,Bremerton,WA,2021,BMW,X3,PHEV,Not Eligible,PUGET SOUND ENERGY INC
Thurston,Olympia,WA,2020,TESLA,MODEL 3,BEV,Eligible,PUGET SOUND ENERGY INC
Kitsap,Bremerton,WA,2019,TESLA,MODEL 3,BEV,Eligible,PUGET SOUND ENERGY INC
King,Seattle,WA,2015,TESLA,MODEL S,BEV,Eligible,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
Snohomish,Bothell,WA,2019,CHEVROLET,BOLT EV,BEV,Eligible,PUGET SOUND ENERGY INC
Thurston,Olympia,WA,2019,KIA,NIRO,BEV,Eligible,PUGET SOUND ENERGY INC
Snohomish,Bothell,WA,2018,TESLA,MODEL X,BEV,Eligible,PUGET SOUND ENERGY INC
King,Seattle,WA,2019,TESLA,MODEL 3,BEV,Eligible,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
Kitsap,Port Orchard,WA,2013,NISSAN,LEAF,BEV,Eligible,PUGET SOUND ENERGY INC
King,Seattle,WA,2025,BMW,X5,PHEV,Eligible,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
Yakima,Yakima,WA,2017,TOYOTA,PRIUS PRIME,PHEV,Not Eligible,PACIFICORP
Thurston,Tumwater,WA,2022,KIA,EV6,BEV,Unknown,PUGET SOUND ENERGY INC
Kitsap,Port Orchard,WA,2014,TESLA,MODEL S,BEV,Eligible,PUGET SOUND ENERGY INC
Thurston,Lacey,WA,2019,MITSUBISHI,OUTLANDER,PHEV,Not Eligible,PUGET SOUND ENERGY INC
Thurston,Olympia,WA,2019,TESLA,MODEL 3,BEV,Eligible,PUGET SOUND ENERGY INC
Thurston,Olympia,WA,2019,TOYOTA,PRIUS PRIME,PHEV,Not Eligible,PUGET SOUND ENERGY INC
King,Seattle,WA,2020,KIA,NIRO,BEV,Eligible,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
Thurston,Tumwater,WA,2024,TESLA,CYBERTRUCK,BEV,Unknown,PUGET SOUND ENERGY INC
Kitsap,Hansville,WA,2019,CHEVROLET,BOLT EV,BEV,Eligible,PUGET SOUND ENERGY INC
King,Redmond,WA,2018,TESLA,MODEL 3,BEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Kitsap,Poulsbo,WA,2018,BMW,X5,PHEV,Not Eligible,PUGET SOUND ENERGY INC
Kitsap,Poulsbo,WA,2022,VOLVO,XC40,BEV,Unknown,PUGET SOUND ENERGY INC
King,Bellevue,WA,2011,NISSAN,LEAF,BEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Seattle,WA,2015,FIAT,500,BEV,Eligible,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
King,Seattle,WA,2016,NISSAN,LEAF,BEV,Eligible,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
Snohomish,Bothell,WA,2020,TESLA,MODEL 3,BEV,Eligible,PUGET SOUND ENERGY INC
Thurston,Olympia,WA,2018,NISSAN,LEAF,BEV,Eligible,PUGET SOUND ENERGY INC
Kitsap,Bremerton,WA,2017,NISSAN,LEAF,BEV,Eligible,PUGET SOUND ENERGY INC
Kitsap,Port Orchard,WA,2020,CHEVROLET,BOLT EV,BEV,Eligible,PUGET SOUND ENERGY INC
Thurston,Olympia,WA,2016,TESLA,MODEL S,BEV,Eligible,PUGET SOUND ENERGY INC
King,Seattle,WA,2011,NISSAN,LEAF,BEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Kitsap,Poulsbo,WA,2013,NISSAN,LEAF,BEV,Eligible,PUGET SOUND ENERGY INC
Snohomish,Everett,WA,2018,TESLA,MODEL 3,BEV,Eligible,PUGET SOUND ENERGY INC
Island,Oak Harbor,WA,2019,TESLA,MODEL 3,BEV,Eligible,PUGET SOUND ENERGY INC
Kitsap,Bainbridge Island,WA,2018,TESLA,MODEL S,BEV,Eligible,PUGET SOUND ENERGY INC
King,Seattle,WA,2018,NISSAN,LEAF,BEV,Eligible,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
Thurston,Olympia,WA,2024,MAZDA,CX-90,PHEV,Not Eligible,PUGET SOUND ENERGY INC
Thurston,Olympia,WA,2015,NISSAN,LEAF,BEV,Eligible,PUGET SOUND ENERGY INC
Thurston,Olympia,WA,2023,KIA,NIRO,BEV,Unknown,PUGET SOUND ENERGY INC
Thurston,Olympia,WA,2017,TESLA,MODEL S,BEV,Eligible,PUGET SOUND ENERGY INC
Thurston,Olympia,WA,2024,KIA,SORENTO,PHEV,Eligible,PUGET SOUND ENERGY INC
Snohomish,Bothell,WA,2019,TESLA,MODEL 3,BEV,Eligible,PUGET SOUND ENERGY INC
King,Seattle,WA,2023,BMW,X5,PHEV,Eligible,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
Kitsap,Poulsbo,WA,2017,NISSAN,LEAF,BEV,Eligible,PUGET SOUND ENERGY INC
Snohomish,Mountlake Terrace,WA,2020,TESLA,MODEL 3,BEV,Eligible,PUGET SOUND ENERGY INC
Snohomish,Bothell,WA,2016,TESLA,MODEL S,BEV,Eligible,PUGET SOUND ENERGY INC
Snohomish,Mukilteo,WA,2024,MITSUBISHI,OUTLANDER,PHEV,Eligible,PUGET SOUND ENERGY INC
Thurston,Olympia,WA,2017,TESLA,MODEL X,BEV,Eligible,PUGET SOUND ENERGY INC
King,Seattle,WA,2013,NISSAN,LEAF,BEV,Eligible,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
Thurston,Lacey,WA,2020,TESLA,MODEL 3,BEV,Eligible,PUGET SOUND ENERGY INC
King,Kirkland,WA,2016,TESLA,MODEL S,BEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Snohomish,Bothell,WA,2020,TESLA,MODEL X,BEV,Eligible,PUGET SOUND ENERGY INC
King,Seattle,WA,2015,NISSAN,LEAF,BEV,Eligible,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
Snohomish,Everett,WA,2019,NISSAN,LEAF,BEV,Eligible,PUGET SOUND ENERGY INC
Skagit,Anacortes,WA,2019,BMW,I3,PHEV,Eligible,PUGET SOUND ENERGY INC
Kitsap,Poulsbo,WA,2018,TESLA,MODEL 3,BEV,Eligible,PUGET SOUND ENERGY INC
Yakima,Zillah,WA,2019,TESLA,MODEL 3,BEV,Eligible,PACIFICORP
King,Seattle,WA,2014,BMW,I3,BEV,Eligible,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
Thurston,Tumwater,WA,2023,KIA,EV6,BEV,Unknown,PUGET SOUND ENERGY INC
King,Seattle,WA,2021,MINI,HARDTOP,BEV,Eligible,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
Thurston,Tumwater,WA,2019,NISSAN,LEAF,BEV,Eligible,PUGET SOUND ENERGY INC
Spokane,Spokane,WA,2019,BMW,I8,PHEV,Not Eligible,MODERN ELECTRIC WATER COMPANY
King,Seattle,WA,2018,BMW,I3,BEV,Eligible,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
Snohomish,Snohomish,WA,2017,CHEVROLET,BOLT EV,BEV,Eligible,PUGET SOUND ENERGY INC
Thurston,Lacey,WA,2017,TESLA,MODEL S,BEV,Eligible,PUGET SOUND ENERGY INC
Kitsap,Kingston,WA,2020,TESLA,MODEL Y,BEV,Eligible,PUGET SOUND ENERGY INC
Snohomish,Lynnwood,WA,2020,TESLA,MODEL 3,BEV,Eligible,PUGET SOUND ENERGY INC
Snohomish,Snohomish,WA,2020,TESLA,MODEL 3,BEV,Eligible,PUGET SOUND ENERGY INC
Snohomish,Bothell,WA,2016,FORD,FUSION,PHEV,Not Eligible,PUGET SOUND ENERGY INC
Snohomish,Mukilteo,WA,2016,TESLA,MODEL S,BEV,Eligible,PUGET SOUND ENERGY INC
Yakima,Yakima,WA,2017,TESLA,MODEL X,BEV,Eligible,PACIFICORP
Yakima,Moxee,WA,2024,TOYOTA,RAV4 PRIME,PHEV,Eligible,PACIFICORP
King,Seattle,WA,2022,KIA,NIRO,PHEV,Not Eligible,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
Snohomish,Everett,WA,2020,TESLA,MODEL Y,BEV,Eligible,PUGET SOUND ENERGY INC
Snohomish,Edmonds,WA,2013,NISSAN,LEAF,BEV,Eligible,PUGET SOUND ENERGY INC
Snohomish,Snohomish,WA,2019,NISSAN,LEAF,BEV,Eligible,PUGET SOUND ENERGY INC
Snohomish,Everett,WA,2020,KIA,NIRO,BEV,Eligible,PUGET SOUND ENERGY INC
Snohomish,Everett,WA,2013,NISSAN,LEAF,BEV,Eligible,PUGET SOUND ENERGY INC
Clallam,Sequim,WA,2015,NISSAN,LEAF,BEV,Eligible,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLALLAM COUNTY
Yakima,Wapato,WA,2019,TESLA,MODEL 3,BEV,Eligible,PACIFICORP
Yakima,Yakima,WA,2020,TESLA,MODEL 3,BEV,Eligible,PACIFICORP
Kitsap,Port Orchard,WA,2020,TESLA,MODEL Y,BEV,Eligible,PUGET SOUND ENERGY INC
Snohomish,Snohomish,WA,2023,LINCOLN,AVIATOR,PHEV,Not Eligible,PUGET SOUND ENERGY INC
Yakima,Yakima,WA,2024,MERCEDES-BENZ,GLE-CLASS,PHEV,Eligible,PACIFICORP
Chelan,Manson,WA,2025,VOLVO,XC90,PHEV,Eligible,PUD NO 1 OF CHELAN COUNTY
Snohomish,Lynnwood,WA,2016,TESLA,MODEL S,BEV,Eligible,PUGET SOUND ENERGY INC
Snohomish,Bothell,WA,2023,TESLA,MODEL Y,BEV,Unknown,PUGET SOUND ENERGY INC
Skagit,Mount Vernon,WA,2015,FORD,FUSION,PHEV,Not Eligible,PUGET SOUND ENERGY INC
Skagit,Anacortes,WA,2018,TESLA,MODEL 3,BEV,Eligible,PUGET SOUND ENERGY INC
Walla Walla,College Place,WA,2020,TESLA,MODEL Y,BEV,Eligible,PACIFICORP
Snohomish,Bothell,WA,2013,NISSAN,LEAF,BEV,Eligible,PUGET SOUND ENERGY INC
King,Seattle,WA,2020,PORSCHE,TAYCAN,BEV,Eligible,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
Yakima,Moxee,WA,2023,TESLA,MODEL S,BEV,Unknown,PACIFICORP
Yakima,Yakima,WA,2022,TOYOTA,RAV4 PRIME,PHEV,Eligible,PACIFICORP
Snohomish,Snohomish,WA,2020,TESLA,MODEL X,BEV,Eligible,PUGET SOUND ENERGY INC
Chelan,Leavenworth,WA,2014,TESLA,MODEL S,BEV,Eligible,PUD NO 1 OF CHELAN COUNTY
Kittitas,Ellensburg,WA,2019,TESLA,MODEL 3,BEV,Eligible,PUGET SOUND ENERGY INC
Snohomish,Brier,WA,2015,NISSAN,LEAF,BEV,Eligible,PUGET SOUND ENERGY INC
Snohomish,Lynnwood,WA,2020,BMW,I3,BEV,Eligible,PUGET SOUND ENERGY INC
Whitman,Pullman,WA,2023,CHEVROLET,BOLT EUV,BEV,Unknown,AVISTA CORP
Thurston,Olympia,WA,2018,CHEVROLET,VOLT,PHEV,Eligible,PUGET SOUND ENERGY INC
Yakima,Yakima,WA,2022,AUDI,Q4,BEV,Unknown,PACIFICORP
Skagit,Anacortes,WA,2013,NISSAN,LEAF,BEV,Eligible,PUGET SOUND ENERGY INC
King,Seattle,WA,2020,TESLA,MODEL 3,BEV,Eligible,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
Snohomish,Lake Stevens,WA,2023,BMW,X5,PHEV,Eligible,PUGET SOUND ENERGY INC
Kitsap,Bremerton,WA,2018,TESLA,MODEL 3,BEV,Eligible,PUGET SOUND ENERGY INC
Kitsap,Poulsbo,WA,2020,TESLA,MODEL 3,BEV,Eligible,PUGET SOUND ENERGY INC
Skagit,La Conner,WA,2019,KIA,NIRO,BEV,Eligible,PUGET SOUND ENERGY INC
Snohomish,Edmonds,WA,2024,KIA,EV6,BEV,Unknown,PUGET SOUND ENERGY INC
Stevens,Kettle Falls,WA,2023,HYUNDAI,SANTA FE,PHEV,Eligible,AVISTA CORP
Snohomish,Snohomish,WA,2020,TESLA,MODEL 3,BEV,Eligible,PUGET SOUND ENERGY INC
Skagit,Anacortes,WA,2019,TESLA,MODEL 3,BEV,Eligible,PUGET SOUND ENERGY INC
Snohomish,Edmonds,WA,2022,KIA,SORENTO,PHEV,Eligible,PUGET SOUND ENERGY INC
Chelan,Leavenworth,WA,2019,NISSAN,LEAF,BEV,Eligible,PUD NO 1 OF CHELAN COUNTY
Spokane,Spokane,WA,2016,NISSAN,LEAF,BEV,Eligible,MODERN ELECTRIC WATER COMPANY
Snohomish,Everett,WA,2015,BMW,I3,PHEV,Eligible,PUGET SOUND ENERGY INC
Snohomish,Snohomish,WA,2018,TESLA,MODEL 3,BEV,Eligible,PUGET SOUND ENERGY INC
Snohomish,Everett,WA,2020,TESLA,MODEL 3,BEV,Eligible,PUGET SOUND ENERGY INC
Yakima,Yakima,WA,2025,BMW,X5,PHEV,Eligible,PACIFICORP
Skagit,La Conner,WA,2018,TESLA,MODEL 3,BEV,Eligible,PUGET SOUND ENERGY INC
Snohomish,Snohomish,WA,2022,FORD,ESCAPE,PHEV,Eligible,PUGET SOUND ENERGY INC
Snohomish,Snohomish,WA,2019,TESLA,MODEL 3,BEV,Eligible,PUGET SOUND ENERGY INC
Island,Langley,WA,2015,NISSAN,LEAF,BEV,Eligible,PUGET SOUND ENERGY INC
Kitsap,Silverdale,WA,2020,TESLA,MODEL Y,BEV,Eligible,PUGET SOUND ENERGY INC
King,Renton,WA,2020,KIA,NIRO,BEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Snohomish,Edmonds,WA,2018,NISSAN,LEAF,BEV,Eligible,PUGET SOUND ENERGY INC
Thurston,Olympia,WA,2024,TESLA,MODEL 3,BEV,Unknown,PUGET SOUND ENERGY INC
Snohomish,Bothell,WA,2014,NISSAN,LEAF,BEV,Eligible,PUGET SOUND ENERGY INC
Whitman,Pullman,WA,2019,NISSAN,LEAF,BEV,Eligible,AVISTA CORP
Snohomish,Everett,WA,2023,KIA,SPORTAGE,PHEV,Eligible,PUGET SOUND ENERGY INC
Snohomish,Snohomish,WA,2011,NISSAN,LEAF,BEV,Eligible,PUGET SOUND ENERGY INC
Snohomish,Lynnwood,WA,2018,TESLA,MODEL 3,BEV,Eligible,PUGET SOUND ENERGY INC
Snohomish,Edmonds,WA,2018,KIA,NIRO,PHEV,Not Eligible,PUGET SOUND ENERGY INC
Snohomish,Edmonds,WA,2020,TESLA,MODEL 3,BEV,Eligible,PUGET SOUND ENERGY INC
Snohomish,Lynnwood,WA,2012,NISSAN,LEAF,BEV,Eligible,PUGET SOUND ENERGY INC
Spokane,Spokane,WA,2019,JAGUAR,I-PACE,BEV,Eligible,MODERN ELECTRIC WATER COMPANY
Spokane,Spokane,WA,2013,FIAT,500,BEV,Eligible,MODERN ELECTRIC WATER COMPANY
Snohomish,Bothell,WA,2014,TESLA,MODEL S,BEV,Eligible,PUGET SOUND ENERGY INC
Snohomish,Bothell,WA,2020,KIA,NIRO,BEV,Eligible,PUGET SOUND ENERGY INC
Skagit,Anacortes,WA,2013,FORD,C-MAX,PHEV,Not Eligible,PUGET SOUND ENERGY INC
Spokane,Spokane,WA,2016,BMW,X5,PHEV,Not Eligible,MODERN ELECTRIC WATER COMPANY
Kitsap,Bainbridge Island,WA,2024,LEXUS,RX,PHEV,Eligible,PUGET SOUND ENERGY INC
Whitman,Pullman,WA,2021,TESLA,MODEL 3,BEV,Unknown,AVISTA CORP
Kitsap,Keyport,WA,2017,CHEVROLET,BOLT EV,BEV,Eligible,PUGET SOUND ENERGY INC
Snohomish,Bothell,WA,2015,NISSAN,LEAF,BEV,Eligible,PUGET SOUND ENERGY INC
Skagit,Anacortes,WA,2022,JEEP,GRAND CHEROKEE,PHEV,Not Eligible,PUGET SOUND ENERGY INC
Chelan,Wenatchee,WA,2018,TESLA,MODEL 3,BEV,Eligible,PUD NO 1 OF CHELAN COUNTY
Snohomish,Bothell,WA,2024,TESLA,MODEL Y,BEV,Unknown,PUGET SOUND ENERGY INC
Snohomish,Lynnwood,WA,2023,BMW,X5,PHEV,Eligible,PUGET SOUND ENERGY INC
Snohomish,Snohomish,WA,2021,LINCOLN,AVIATOR,PHEV,Not Eligible,PUGET SOUND ENERGY INC
Whitman,Pullman,WA,2024,JEEP,WRANGLER,PHEV,Not Eligible,AVISTA CORP
Grant,Ephrata,WA,2023,BMW,330E,PHEV,Not Eligible,PUD NO 2 OF GRANT COUNTY
Kitsap,Kingston,WA,2012,FORD,FOCUS,BEV,Eligible,PUGET SOUND ENERGY INC
Snohomish,Monroe,WA,2022,TESLA,MODEL Y,BEV,Unknown,PUGET SOUND ENERGY INC
Snohomish,Lynnwood,WA,2019,KIA,NIRO,BEV,Eligible,PUGET SOUND ENERGY INC
Thurston,Olympia,WA,2017,CHEVROLET,BOLT EV,BEV,Eligible,PUGET SOUND ENERGY INC
Chelan,Wenatchee,WA,2022,LINCOLN,CORSAIR,PHEV,Not Eligible,PUD NO 1 OF CHELAN COUNTY
Snohomish,Brier,WA,2019,NISSAN,LEAF,BEV,Eligible,PUGET SOUND ENERGY INC
Snohomish,Lake Stevens,WA,2023,VOLVO,XC90,PHEV,Eligible,PUGET SOUND ENERGY INC
Skagit,Mount Vernon,WA,2017,TESLA,MODEL S,BEV,Eligible,PUGET SOUND ENERGY INC
Snohomish,Bothell,WA,2022,TESLA,MODEL Y,BEV,Unknown,PUGET SOUND ENERGY INC
Douglas,Orondo,WA,2024,BMW,X5,PHEV,Eligible,PUD NO 1 OF DOUGLAS COUNTY
Yakima,Selah,WA,2022,FORD,F-150,BEV,Unknown,PACIFICORP
Chelan,Leavenworth,WA,2014,NISSAN,LEAF,BEV,Eligible,PUD NO 1 OF CHELAN COUNTY
King,Kirkland,WA,2020,TESLA,MODEL Y,BEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Thurston,Olympia,WA,2023,TESLA,MODEL 3,BEV,Unknown,PUGET SOUND ENERGY INC
King,Renton,WA,2023,TESLA,MODEL Y,BEV,Unknown,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Sammamish,WA,2023,TESLA,MODEL Y,BEV,Unknown,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Kirkland,WA,2018,TESLA,MODEL X,BEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Sammamish,WA,2023,TESLA,MODEL S,BEV,Unknown,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Redmond,WA,2023,FORD,ESCAPE,PHEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Duvall,WA,2020,TESLA,MODEL 3,BEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Redmond,WA,2020,BMW,530E,PHEV,Not Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Pacific,WA,2024,FORD,F-150,BEV,Unknown,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Seatac,WA,2021,CHRYSLER,PACIFICA,PHEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Bellevue,WA,2023,FORD,F-150,BEV,Unknown,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Seattle,WA,2023,TESLA,MODEL Y,BEV,Unknown,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
King,Newcastle,WA,2020,TESLA,MODEL 3,BEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Bellevue,WA,2018,HONDA,CLARITY,PHEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Clark,La Center,WA,2023,CHEVROLET,BOLT EUV,BEV,Unknown,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
Kitsap,Bremerton,WA,2022,RIVIAN,R1T,BEV,Unknown,PUGET SOUND ENERGY INC
King,Seattle,WA,2018,TESLA,MODEL X,BEV,Eligible,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
King,Bellevue,WA,2020,TESLA,MODEL Y,BEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Thurston,Olympia,WA,2023,HYUNDAI,IONIQ 5,BEV,Unknown,PUGET SOUND ENERGY INC
Snohomish,Snohomish,WA,2023,TESLA,MODEL Y,BEV,Unknown,PUGET SOUND ENERGY INC
King,Tukwila,WA,2023,JEEP,WRANGLER,PHEV,Not Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Seattle,WA,2023,NISSAN,LEAF,BEV,Unknown,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
King,Bothell,WA,2021,TESLA,MODEL Y,BEV,Unknown,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Auburn,WA,2014,TESLA,MODEL S,BEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Bellevue,WA,2023,TESLA,MODEL Y,BEV,Unknown,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Renton,WA,2024,TESLA,MODEL 3,BEV,Unknown,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Clark,Vancouver,WA,2023,TESLA,MODEL Y,BEV,Unknown,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
King,Seattle,WA,2017,BMW,X5,PHEV,Not Eligible,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
King,Sammamish,WA,2024,TESLA,MODEL Y,BEV,Unknown,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Clark,Vancouver,WA,2024,TESLA,MODEL 3,BEV,Unknown,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
King,Seattle,WA,2023,KIA,EV6,BEV,Unknown,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
King,Kirkland,WA,2019,CHEVROLET,BOLT EV,BEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Kitsap,Silverdale,WA,2023,KIA,SORENTO,PHEV,Eligible,PUGET SOUND ENERGY INC
King,Bellevue,WA,2019,TESLA,MODEL 3,BEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Seattle,WA,2011,NISSAN,LEAF,BEV,Eligible,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
King,Redmond,WA,2023,TESLA,MODEL Y,BEV,Unknown,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Kitsap,Kingston,WA,2022,NISSAN,LEAF,BEV,Unknown,PUGET SOUND ENERGY INC
Kitsap,Bainbridge Island,WA,2021,TESLA,MODEL Y,BEV,Unknown,PUGET SOUND ENERGY INC
King,Kirkland,WA,2024,GENESIS,GV70,BEV,Unknown,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Kirkland,WA,2016,AUDI,A3,PHEV,Not Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Kitsap,Port Orchard,WA,2024,TESLA,MODEL Y,BEV,Unknown,PUGET SOUND ENERGY INC
King,Bellevue,WA,2023,BMW,IX,BEV,Unknown,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Kirkland,WA,2018,TESLA,MODEL 3,BEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Kitsap,Kingston,WA,2023,TESLA,MODEL Y,BEV,Unknown,PUGET SOUND ENERGY INC
King,Seattle,WA,2023,VOLVO,XC40,BEV,Unknown,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
King,Lake Forest Park,WA,2021,KIA,NIRO,BEV,Unknown,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
Clark,Vancouver,WA,2024,MERCEDES-BENZ,EQE-CLASS SUV,BEV,Unknown,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
